actual\predicted,Checking or savings account,Credit card,Credit reporting or other personal consumer reports,Debt collection,"Money transfer, virtual currency, or money service",Mortgage,Vehicle loan or lease
Checking or savings account,2556,177,35,9,168,7,4
Credit card,137,1529,174,19,10,3,0
Credit reporting or other personal consumer reports,16,66,390,20,2,4,10
Debt collection,17,28,88,123,1,1,6
"Money transfer, virtual currency, or money service",210,18,1,0,291,0,1
Mortgage,6,6,9,1,3,132,0
Vehicle loan or lease,2,9,9,3,0,2,79
