threshold,coverage,precision,n_routed
0.0,1.0,0.8068003760576622,6382
0.002,1.0,0.8068003760576622,6382
0.004,1.0,0.8068003760576622,6382
0.006,1.0,0.8068003760576622,6382
0.008,1.0,0.8068003760576622,6382
0.01,1.0,0.8068003760576622,6382
0.012,1.0,0.8068003760576622,6382
0.014,1.0,0.8068003760576622,6382
0.016,1.0,0.8068003760576622,6382
0.018,1.0,0.8068003760576622,6382
0.02,1.0,0.8068003760576622,6382
0.022,1.0,0.8068003760576622,6382
0.024,1.0,0.8068003760576622,6382
0.026,1.0,0.8068003760576622,6382
0.028,1.0,0.8068003760576622,6382
0.03,1.0,0.8068003760576622,6382
0.032,1.0,0.8068003760576622,6382
0.034,1.0,0.8068003760576622,6382
0.036,1.0,0.8068003760576622,6382
0.038,1.0,0.8068003760576622,6382
0.04,1.0,0.8068003760576622,6382
0.042,1.0,0.8068003760576622,6382
0.044,1.0,0.8068003760576622,6382
0.046,1.0,0.8068003760576622,6382
0.048,1.0,0.8068003760576622,6382
0.05,1.0,0.8068003760576622,6382
0.052,1.0,0.8068003760576622,6382
0.054,1.0,0.8068003760576622,6382
0.056,1.0,0.8068003760576622,6382
0.058,1.0,0.8068003760576622,6382
0.06,1.0,0.8068003760576622,6382
0.062,1.0,0.8068003760576622,6382
0.064,1.0,0.8068003760576622,6382
0.066,1.0,0.8068003760576622,6382
0.068,1.0,0.8068003760576622,6382
0.07,1.0,0.8068003760576622,6382
0.072,1.0,0.8068003760576622,6382
0.074,1.0,0.8068003760576622,6382
0.076,1.0,0.8068003760576622,6382
0.078,1.0,0.8068003760576622,6382
0.08,1.0,0.8068003760576622,6382
0.082,1.0,0.8068003760576622,6382
0.084,1.0,0.8068003760576622,6382
0.086,1.0,0.8068003760576622,6382
0.088,1.0,0.8068003760576622,6382
0.09,1.0,0.8068003760576622,6382
0.092,1.0,0.8068003760576622,6382
0.094,1.0,0.8068003760576622,6382
0.096,1.0,0.8068003760576622,6382
0.098,1.0,0.8068003760576622,6382
0.1,1.0,0.8068003760576622,6382
0.102,1.0,0.8068003760576622,6382
0.104,1.0,0.8068003760576622,6382
0.106,1.0,0.8068003760576622,6382
0.108,1.0,0.8068003760576622,6382
0.11,1.0,0.8068003760576622,6382
0.112,1.0,0.8068003760576622,6382
0.114,1.0,0.8068003760576622,6382
0.116,1.0,0.8068003760576622,6382
0.118,1.0,0.8068003760576622,6382
0.12,1.0,0.8068003760576622,6382
0.122,1.0,0.8068003760576622,6382
0.124,1.0,0.8068003760576622,6382
0.126,1.0,0.8068003760576622,6382
0.128,1.0,0.8068003760576622,6382
0.13,1.0,0.8068003760576622,6382
0.132,1.0,0.8068003760576622,6382
0.134,1.0,0.8068003760576622,6382
0.136,1.0,0.8068003760576622,6382
0.138,1.0,0.8068003760576622,6382
0.14,1.0,0.8068003760576622,6382
0.142,1.0,0.8068003760576622,6382
0.144,1.0,0.8068003760576622,6382
0.146,1.0,0.8068003760576622,6382
0.148,1.0,0.8068003760576622,6382
0.15,1.0,0.8068003760576622,6382
0.152,1.0,0.8068003760576622,6382
0.154,1.0,0.8068003760576622,6382
0.156,1.0,0.8068003760576622,6382
0.158,1.0,0.8068003760576622,6382
0.16,1.0,0.8068003760576622,6382
0.162,1.0,0.8068003760576622,6382
0.164,1.0,0.8068003760576622,6382
0.166,1.0,0.8068003760576622,6382
